# timestamps,qw,qx,qy,qz,tx,ty,tz,vx,vy,vz,FR_qw,FR_qx,FR_qy,FR_qz,FR_tx,FR_ty,FR_tz,FL_qw,FL_qx,FL_qy,FL_qz,FL_tx,FL_ty,FL_tz,RR_qw,RR_qx,RR_qy,RR_qz,RR_tx,RR_ty,RR_tz,RL_qw,RL_qx,RL_qy,RL_qz,RL_tx,RL_ty,RL_tz
1.050000000000000044e+00,9.988989977672415588e-01,4.330457438269220277e-02,-1.746678326056461117e-02,4.518581598526167677e-03,8.545513351055379347e-01,6.647974170266431060e-02,2.492907275485152785e-01,9.614202260941085987e-01,-1.167853347316635954e-01,-4.468872287425253165e-02,9.093346438355410788e-01,2.359778011936195241e-01,-3.346265030894888803e-01,-7.382469975837721576e-02,9.650411516082491037e-01,4.619102855915397515e-02,1.999171102628216623e-02,7.679964948338176001e-01,-6.899290214228111229e-02,-6.341060217762168882e-01,5.771409294180671751e-02,1.155199202867408959e+00,1.557028778815089387e-01,1.994144556388098219e-02,7.883826429677117664e-01,-1.837784328813808071e-02,-6.146468259228768938e-01,1.800951210485118512e-02,7.535657746581106986e-01,-7.960360158253565466e-02,1.996723733925927571e-02,9.777383895201691155e-01,1.229818835913928238e-01,-1.695038475017122404e-01,-1.309746727178898694e-02,5.341080147013639312e-01,2.525193855915066621e-01,1.999160030705568469e-02
1.054999999999999938e+00,9.989126231821171542e-01,4.285138805755690089e-02,-1.772252114518661423e-02,4.820999193180829263e-03,8.592905855776729052e-01,6.596192331784463125e-02,2.491218184187749263e-01,9.409608136432954240e-01,-9.589711998658181913e-02,-2.555438549214466420e-02,9.118342624165818311e-01,2.372754848012666173e-01,-3.272755317938795816e-01,-7.175896100533624145e-02,9.666888093166740026e-01,4.588393462262092132e-02,1.999028412747411165e-02,7.699012797268947050e-01,-6.993232230259240068e-02,-6.316232840661010206e-01,5.842530956537356213e-02,1.155326358821026078e+00,1.548196954953086346e-01,1.996659113589057191e-02,7.915037532112659813e-01,-1.724175367162578132e-02,-6.106727125611721707e-01,1.741748305543483130e-02,7.537720445947111436e-01,-7.965372050384865454e-02,1.998399112935488747e-02,9.787329259774709689e-01,1.237380243824016818e-01,-1.631748446541780306e-01,-1.203041984318749258e-02,5.358815650928715479e-01,2.518972851720386874e-01,2.025465586792316031e-02
1.060000000000000053e+00,9.989251076681999741e-01,4.251992033049811770e-02,-1.773303714860289398e-02,5.121038825226244609e-03,8.639044961184956239e-01,6.558438612554955138e-02,2.489178120377708026e-01,9.189000009466277152e-01,-6.687592878248981021e-02,-3.730354814954494475e-02,9.093258235686250135e-01,2.392840781724361876e-01,-3.323339260724957889e-01,-7.364671143812409615e-02,9.723953122775096380e-01,4.483174710272096880e-02,2.340080255871110348e-02,7.719379843892224535e-01,-7.039395903275230681e-02,-6.290504505172399563e-01,5.875346366689473965e-02,1.155459580067714986e+00,1.543550020809347223e-01,1.998264063278897343e-02,7.948051843316578102e-01,-1.633377580405584450e-02,-6.064074114118813696e-01,1.696991786201442615e-02,7.539914228981632327e-01,-7.969292157412542765e-02,1.999192793155189080e-02,9.777754266971941943e-01,1.204199435628897225e-01,-1.711815356357410112e-01,-1.229365677167730021e-02,5.424889828134498160e-01,2.488546805831030329e-01,2.319485608982825575e-02
1.064999999999999947e+00,9.989390269012972112e-01,4.215836481154584120e-02,-1.773086209129570018e-02,5.395307165084231235e-03,8.684348406815073362e-01,6.534647290430958821e-02,2.486787398118741055e-01,9.044988319646658503e-01,-3.866621628608654659e-02,-4.376719403246607382e-02,9.021495400890725547e-01,2.417061760011600391e-01,-3.485044441548134087e-01,-7.905051678715112329e-02,9.815344034016165731e-01,4.260619834979081921e-02,3.048841753334496918e-02,7.741043227017578854e-01,-7.047185944351230802e-02,-6.263724187790690179e-01,5.876910407591003083e-02,1.155599268852760542e+00,1.542667360572549939e-01,1.999179053548744492e-02,7.981817564177845492e-01,-1.565262159978785331e-02,-6.019820573059549984e-01,1.668777518318261335e-02,7.542175003311376580e-01,-7.972080732901941358e-02,1.999188840950951590e-02,9.748745241100952308e-01,1.142334539536843940e-01,-1.907601326646903572e-01,-1.345184094005120318e-02,5.528874751993207992e-01,2.440234074378759555e-01,2.902706963322516931e-02
1.070000000000000062e+00,9.989502844271264115e-01,4.184001980926697895e-02,-1.773795704792077016e-02,5.753856540571063508e-03,8.729075504959088461e-01,6.524510380200657100e-02,2.484367699102764115e-01,8.940697133455648427e-01,-1.140123926684366226e-02,-4.387556310928170111e-02,8.917764240315083635e-01,2.425976587149846486e-01,-3.720792932362674832e-01,-8.624491331309348807e-02,9.929400634888919663e-01,3.894301277673727774e-02,3.961354256607013680e-02,7.763266240108849248e-01,-7.064678111591587983e-02,-6.235777283959403894e-01,5.896458104982006676e-02,1.155744250758325098e+00,1.542783566336072276e-01,1.999173354542745085e-02,8.016700519447143014e-01,-1.509672404963493218e-02,-5.973450030255057497e-01,1.661818577302514102e-02,7.544529645345711133e-01,-7.973965262012210065e-02,1.999187675301829920e-02,9.701188888932166243e-01,1.068209745132756433e-01,-2.173441623761709629e-01,-1.483697737498190609e-02,5.656393358959739270e-01,2.384881275402381540e-01,3.696490475831686051e-02
1.074999999999999956e+00,9.989554093756090047e-01,4.166829506221179230e-02,-1.767811027802515880e-02,6.271178742135892319e-03,8.773373158581602160e-01,6.527155152989359832e-02,2.482219724385813786e-01,8.862203291618034884e-01,1.336203119528408569e-02,-3.757978896510895395e-02,8.788652002768215787e-01,2.402311775423196516e-01,-4.013152932846219545e-01,-9.397327521636440750e-02,1.006018434698111585e+00,3.373654975283107288e-02,4.953917267446784206e-02,7.785447583407754113e-01,-7.106194866172477198e-02,-6.207024876293166793e-01,5.955401383013488731e-02,1.155892243876381231e+00,1.543071888055487229e-01,1.999166049073752491e-02,8.053466587009456834e-01,-1.458405498964414175e-02,-5.923870080288519135e-01,1.678384276340373973e-02,7.547031183093677598e-01,-7.975167047025039091e-02,1.999180906640439515e-02,9.634212171533665936e-01,9.906387887195342024e-02,-2.484889512097370745e-01,-1.609805479719509172e-02,5.799817690432533812e-01,2.328914084045877742e-01,4.633082778760817810e-02
1.080000000000000071e+00,9.989551022017167936e-01,4.167396332273576309e-02,-1.741943266044855207e-02,6.967634600122756504e-03,8.817361293635490593e-01,6.540889481493983304e-02,2.480697655964194670e-01,8.807862200383889117e-01,3.400390298668172495e-02,-2.349520913537095357e-02,8.634391181819018879e-01,2.336277361278437936e-01,-4.354558955859638703e-01,-1.013367312698820050e-01,1.020415175905823979e+00,2.721518480443171906e-02,5.943243813991638119e-02,7.807433351049751780e-01,-7.169010012735327342e-02,-6.177641569033825997e-01,6.056253527011091348e-02,1.156042500485154889e+00,1.543529839779552992e-01,1.999163590838826110e-02,8.093008571209163726e-01,-1.406672659457451104e-02,-5.869748579420049905e-01,1.716875098039234021e-02,7.549741730392144357e-01,-7.975880350907306460e-02,1.999177921793855034e-02,9.546479170574830864e-01,9.116724938239421927e-02,-2.829233148501909545e-01,-1.703775255240123562e-02,5.954686189359225112e-01,2.275116101843142336e-01,5.645204333953419973e-02
1.084999999999999964e+00,9.989531410706935510e-01,4.181250835983776198e-02,-1.683204660414792248e-02,7.811420918719542625e-03,8.861165240962475265e-01,6.563509197105722726e-02,2.480184316160824742e-01,8.779277091490906848e-01,5.004113318123987880e-02,-1.567313921306564325e-03,8.451829461816749989e-01,2.228136292129308249e-01,-4.737321653591142767e-01,-1.076926628178130896e-01,1.035754609635243684e+00,1.990946627865062754e-02,6.878769656407107691e-02,7.829299505676339255e-01,-7.248259378783709905e-02,-6.147604707907605714e-01,6.193972598479973585e-02,1.156195260382322454e+00,1.544130315917063012e-01,1.999162832274709381e-02,8.136132821896499001e-01,-1.353189834678186938e-02,-5.809786051988137245e-01,1.772498442758586173e-02,7.552719126399839444e-01,-7.976252652917442676e-02,1.999173857516236413e-02,9.436329914983173639e-01,8.289487909252325759e-02,-3.199686048473261435e-01,-1.747307323363737896e-02,6.117830816751697043e-01,2.224062839426860227e-01,6.666095736614961742e-02
1.090000000000000080e+00,9.989540839076437306e-01,4.199902822824885806e-02,-1.582274356402378970e-02,8.744178533749431825e-03,8.904907406840109063e-01,6.593055380069179350e-02,2.481003542302500364e-01,8.773917705961051805e-01,6.268412580737905970e-02,2.629485408711493624e-02,8.239893316745289242e-01,2.087191765439789237e-01,-5.145992842155758806e-01,-1.125409406135537554e-01,1.051518651395502602e+00,1.248141972853699863e-02,7.728554291915676333e-02,7.851337578092708602e-01,-7.338776740996390269e-02,-6.116654718578927730e-01,6.359692193601676480e-02,1.156351887061466188e+00,1.544835903835886093e-01,1.999163009612100680e-02,8.183320867882949434e-01,-1.299238822321853969e-02,-5.743042690781960946e-01,1.839565436538365822e-02,7.556001855355747310e-01,-7.976363646220142878e-02,1.999169750649545940e-02,9.301672474397544299e-01,7.401363718769139732e-02,-3.591859414443260290e-01,-1.721431873042279098e-02,6.286572166331032552e-01,2.175988651001126706e-01,7.635740763874818149e-02
1.094999999999999973e+00,9.989604137523329097e-01,4.216132099701106611e-02,-1.436239237216706613e-02,9.707546183391591033e-03,8.948679844460099009e-01,6.628326746077670140e-02,2.483287603553599177e-01,8.783674045115220652e-01,7.364916758172666833e-02,5.514201769274727771e-02,8.004872214291643973e-01,1.927858953579301704e-01,-5.556224812890089293e-01,-1.154879438119056634e-01,1.067121842001675702e+00,5.533753873272199975e-03,8.465970872945775827e-02,7.873942567011807947e-01,-7.436750831909125226e-02,-6.084384247991376782e-01,6.544036558844160134e-02,1.156514389328842540e+00,1.545612088503428017e-01,1.999163444910220105e-02,8.234499855439983973e-01,-1.247789362197630411e-02,-5.669288265398571003e-01,1.913450068562463566e-02,7.559593716524501961e-01,-7.976212005458892251e-02,1.999166568013479445e-02,9.140604570381968275e-01,6.469757796184295862e-02,-4.000582470856009487e-01,-1.615868880170056102e-02,6.458226053078819362e-01,2.132008452296496048e-01,8.508781613815995237e-02
1.100000000000000089e+00,9.989717615245231608e-01,4.225647454754591359e-02,-1.249907536622038053e-02,1.065753960317945143e-02,8.992553128431149956e-01,6.669040670857152853e-02,2.486914727444687334e-01,8.807460178611195012e-01,8.483066882268591735e-02,7.991075730290182755e-02,7.761205710573475525e-01,1.764673382307395677e-01,-5.941115788135161724e-01,-1.163080807127597344e-01,1.082109289420171372e+00,-5.222855707133107483e-04,9.065660485204704577e-02,7.897477295520208829e-01,-7.540530753947505271e-02,-6.050382235588318558e-01,6.738925207389018235e-02,1.156684706291182696e+00,1.546434238159666019e-01,1.999164118537899784e-02,8.288992250082943825e-01,-1.202615940400968836e-02,-5.589140259686751211e-01,1.991376022064938675e-02,7.563459093077340434e-01,-7.975730484022508504e-02,1.999165378879299432e-02,8.953444738635679689e-01,5.560344896403805054e-02,-4.416550740714709766e-01,-1.439878926152038038e-02,6.629724685386793048e-01,2.094078732650883901e-01,9.257607973196921303e-02
1.104999999999999982e+00,9.989868013979591455e-01,4.224113834734673223e-02,-1.035087625327431836e-02,1.157221779021692931e-02,9.036587518952169384e-01,6.715472022250554285e-02,2.491565191879959174e-01,8.843113960011462771e-01,9.683174664357191430e-02,9.733165115868402939e-02,7.526750842621428017e-01,1.608848551120405923e-01,-6.279854648007786588e-01,-1.150240710699460961e-01,1.096293354217089622e+00,-5.500697781295228739e-03,9.510067189495546858e-02,7.922217150364829763e-01,-7.650550149494995955e-02,-6.014295025031448638e-01,6.938455148287299423e-02,1.156864426389195177e+00,1.547289549348292992e-01,1.999164900162161279e-02,8.345742494181466187e-01,-1.167004548675568305e-02,-5.503818527179505926e-01,2.072313791949533662e-02,7.567536004653625525e-01,-7.974832917603129345e-02,1.999166313295869940e-02,8.745128923274920751e-01,4.758437205006717935e-02,-4.825071628838455973e-01,-1.223791058094631304e-02,6.797788006915709280e-01,2.064103790002661809e-01,9.868668180892625763e-02
1.110000000000000098e+00,9.990050648284748425e-01,4.205546840138325165e-02,-8.076248821906334072e-03,1.244958752576062928e-02,9.080838577373283593e-01,6.768042748008573639e-02,2.496841669541127462e-01,8.890454379467392920e-01,1.096493932427671930e-01,1.067921697721057467e-01,7.316870590229663796e-01,1.467092078820926571e-01,-6.561945017958693560e-01,-1.118893730155007260e-01,1.109716329523047440e+00,-9.402888257616724699e-03,9.795854033905850022e-02,7.948365817752385265e-01,-7.768338397771731851e-02,-5.975819674383966440e-01,7.138551896624573123e-02,1.157054851688835040e+00,1.548173171690754857e-01,1.999165820406485772e-02,8.403607034761677586e-01,-1.142942119857665549e-02,-5.414779074102565870e-01,2.156228584161371670e-02,7.571753877322766613e-01,-7.973457391828381313e-02,1.999168836219931272e-02,8.525725080823182145e-01,4.121076235561792894e-02,-5.208848174005337173e-01,-1.003984710574333181e-02,6.959639903661475335e-01,2.042784889465944220e-01,1.033742910218202193e-01
1.114999999999999991e+00,9.990273124610751232e-01,4.163607585186094445e-02,-5.832823454495149849e-03,1.329828240819793360e-02,9.125364215655001887e-01,6.826922504528896984e-02,2.502377033657034455e-01,8.949823008197044238e-01,1.225090159270556117e-01,1.094762569636974631e-01,7.140816175237475472e-01,1.342584277472651244e-01,-6.786308406201214671e-01,-1.073419780548508506e-01,1.122524692502531396e+00,-1.233139203022592598e-02,9.934937468299609442e-02,7.976071557793754652e-01,-7.895507093379380836e-02,-5.934703577924346218e-01,7.336113579474026758e-02,1.157257020232306921e+00,1.549082844578649476e-01,1.999164626998918559e-02,8.461622127691983408e-01,-1.131168135838689880e-02,-5.323329457493015671e-01,2.243190621082677416e-02,7.576051159768407706e-01,-7.971583178081433074e-02,1.999165539299392613e-02,8.308245198690716871e-01,3.659734405518681039e-02,-5.552711209968242967e-01,-8.076743116078408113e-03,7.113643049273252750e-01,2.029532204351155444e-01,1.066391564203697240e-01
1.120000000000000107e+00,9.990567984595878359e-01,4.088871481551800691e-02,-3.751112933028169071e-03,1.412641512123584582e-02,9.170220244339933879e-01,6.891914975441859603e-02,2.507887584980489915e-01,9.019630995023402154e-01,1.346929576975018916e-01,1.072387638758878908e-01,7.001332057965837796e-01,1.236511928979129871e-01,-6.957952407908670756e-01,-1.019453752197758967e-01,1.134863902560582005e+00,-1.440794826871033031e-02,9.949687836507051242e-02,8.005417892171523553e-01,-8.033118735796414278e-02,-5.890776293090729254e-01,7.528141007089707293e-02,1.157471561203813781e+00,1.550015445970618633e-01,1.999165770596210423e-02,8.519123578939347130e-01,-1.131701206846048163e-02,-5.230421685525910025e-01,2.332701483777546367e-02,7.580384091794898360e-01,-7.969220777660829258e-02,1.999168246293674817e-02,8.104939681468473767e-01,3.354435428791795876e-02,-5.847496905657662003e-01,-6.488703739928362683e-03,7.259461248607571582e-01,2.023096417443589756e-01,1.085313137372390935e-01
1.125000000000000000e+00,9.990976357516629935e-01,3.971299118732907890e-02,-1.922594412941117841e-03,1.493640509345367171e-02,9.215454747529930879e-01,6.962603348166276906e-02,2.513173108468619299e-01,9.097841528163566061e-01,1.459109862022722470e-01,1.015962219747726936e-01,6.896507462326562088e-01,1.148768595426430256e-01,-7.084617068791435601e-01,-9.626611682337084253e-02,1.146820775866711717e+00,-1.574506550715661091e-02,9.867156761795931041e-02,8.036437296574437950e-01,-8.181641388491597833e-02,-5.843936605007310492e-01,7.711601498937718790e-02,1.157698762209702359e+00,1.550966197945573832e-01,1.999167229041066973e-02,8.575719171374914795e-01,-1.144463798654918492e-02,-5.136652337752778408e-01,2.423746705151856584e-02,7.584725998928762980e-01,-7.966392409097004801e-02,1.999170965641240000e-02,7.924645552573348350e-01,3.172265280609314758e-02,-6.090693548141239422e-01,-5.303110978047520345e-03,7.397581757880010711e-01,2.022097124289148895e-01,1.091628267026097804e-01
1.130000000000000115e+00,9.991526335470229947e-01,3.803339352716879340e-02,-4.029550822410686984e-04,1.572620361236642256e-02,9.261116104012915295e-01,7.038549629788726225e-02,2.518083599454460919e-01,9.185582855528865442e-01,1.562697315647463836e-01,9.324079115255454187e-02,6.821785280750725100e-01,1.078348916539339925e-01,-7.174706321589269242e-01,-9.077435741872136310e-02,1.158411369665660606e+00,-1.644335543301220920e-02,9.715816001384591782e-02,8.069125174528911648e-01,-8.341254889451735210e-02,-5.794127090193287311e-01,7.883811572862482742e-02,1.157938693931978458e+00,1.551930318617882054e-01,1.999169111401469939e-02,8.631196104626162047e-01,-1.169526492543265621e-02,-5.042371828349894169e-01,2.515198321840786747e-02,7.589061908955738733e-01,-7.963116848347594201e-02,1.999174149319012106e-02,7.771984095888164745e-01,3.082315185348456429e-02,-6.284841802382680198e-01,-4.494511393193983094e-03,7.528699740561678455e-01,2.025377156062889705e-01,1.087066964157222260e-01
1.135000000000000009e+00,9.992219551177107251e-01,3.581746045000564621e-02,7.777602433860123605e-04,1.649208982075434787e-02,9.307254995886632409e-01,7.119440428688242339e-02,2.522496629209417529e-01,9.282849494672694712e-01,1.660856902789556166e-01,8.264994800844219225e-02,6.771383787063613990e-01,1.023623366120363781e-01,-7.236328539258325421e-01,-8.579662490680529940e-02,1.169597097034066557e+00,-1.659613016524500231e-02,9.523724248319265229e-02,8.103459526470776497e-01,-8.512137377156350770e-02,-5.741299964698359792e-01,8.042720876225922799e-02,1.158191373488395959e+00,1.552905029303475182e-01,1.999174893940369041e-02,8.685443254444163985e-01,-1.207198526278325905e-02,-4.947785601059446203e-01,2.606143452703480606e-02,7.593383738275392147e-01,-7.959398305367271220e-02,1.999183359502182400e-02,7.647764402163732544e-01,3.060407260441649555e-02,-6.435559187661630265e-01,-4.020777416806739848e-03,7.653308468558474020e-01,2.032055059995773461e-01,1.073866777432484348e-01
