# timestamps,wx,wy,wz,ax,ay,az,FR_contact,FL_contact,RR_contact,RL_contact,FL_hip_fixed,FL_hip_joint,FL_lower_joint,FL_toe_fixed,FL_upper_joint,FR_hip_fixed,FR_hip_joint,FR_lower_joint,FR_toe_fixed,FR_upper_joint,RL_hip_fixed,RL_hip_joint,RL_lower_joint,RL_toe_fixed,RL_upper_joint,RR_hip_fixed,RR_hip_joint,RR_lower_joint,RR_toe_fixed,RR_upper_joint,imu_joint
1.000000000000000056e-01,-1.292999386787414551e-01,-3.345156610012054443e-01,1.504929065704345703e-01,2.756228909844959940e+00,2.463744447602854049e+00,1.402573072059153780e+01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.549181670386068896e-02,-1.807801182374774607e+00,0.000000000000000000e+00,1.012725891951805846e+00,0.000000000000000000e+00,1.526188762200967990e-02,-2.336397810994117474e+00,0.000000000000000000e+00,1.199022157682381851e+00,0.000000000000000000e+00,-9.761284633179836967e-03,-2.341219998960125448e+00,0.000000000000000000e+00,1.153116526615089121e+00,0.000000000000000000e+00,-2.225388828919198925e-02,-1.885185808521654849e+00,0.000000000000000000e+00,1.005464253395143448e+00,0.000000000000000000e+00
1.049999999999999961e-01,-2.587376236915588379e-01,-2.537699341773986816e-01,1.479818671941757202e-01,2.878818815119549068e+00,2.404350763298576332e+00,1.411051992533449528e+01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.739786904178988583e-02,-1.807704500758612332e+00,0.000000000000000000e+00,1.021350796638382574e+00,0.000000000000000000e+00,1.725563901270242562e-02,-2.374192033039993710e+00,0.000000000000000000e+00,1.207525991901931439e+00,0.000000000000000000e+00,-3.436535502828743163e-03,-2.373957261220057902e+00,0.000000000000000000e+00,1.165172028791739312e+00,0.000000000000000000e+00,-2.326915165656024201e-02,-1.886109624205306590e+00,0.000000000000000000e+00,1.015763471099342619e+00,0.000000000000000000e+00
1.100000000000000006e-01,-3.595436215400695801e-01,-1.816609650850296021e-01,1.477080881595611572e-01,2.994536398065889671e+00,2.341837608469153231e+00,1.376755626917130648e+01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.887453223338148217e-02,-1.807483963917829728e+00,0.000000000000000000e+00,1.029737588426602901e+00,0.000000000000000000e+00,2.199213056802586108e-02,-2.401829638207785944e+00,0.000000000000000000e+00,1.207819333696708020e+00,0.000000000000000000e+00,2.514492596448112370e-03,-2.396185332586465044e+00,0.000000000000000000e+00,1.169369745206145561e+00,0.000000000000000000e+00,-2.385072986605981521e-02,-1.885431990678720027e+00,0.000000000000000000e+00,1.024977235229469263e+00,0.000000000000000000e+00
1.150000000000000050e-01,-4.297712445259094238e-01,-1.221055015921592712e-01,1.491958796977996826e-01,3.088758154077032803e+00,2.274662605357860468e+00,1.314461354954088890e+01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.006961758437877788e-02,-1.807071752917856822e+00,0.000000000000000000e+00,1.037901179782435124e+00,0.000000000000000000e+00,2.918072165878660487e-02,-2.419734006149006245e+00,0.000000000000000000e+00,1.200767649617831445e+00,0.000000000000000000e+00,7.945443896311356682e-03,-2.408429059679069173e+00,0.000000000000000000e+00,1.166400122883513468e+00,0.000000000000000000e+00,-2.413430898874652925e-02,-1.883296357576381919e+00,0.000000000000000000e+00,1.033230750024103139e+00,0.000000000000000000e+00
1.199999999999999956e-01,-4.722463190555572510e-01,-7.678885012865066528e-02,1.519227176904678345e-01,3.166147070538929853e+00,2.207494112262263553e+00,1.237452111396527599e+01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.113359058309502631e-02,-1.806430569921442242e+00,0.000000000000000000e+00,1.045890151878475782e+00,0.000000000000000000e+00,3.830916752207173120e-02,-2.428785411854137877e+00,0.000000000000000000e+00,1.187519758397961533e+00,0.000000000000000000e+00,1.289277741315293831e-02,-2.411636176601151149e+00,0.000000000000000000e+00,1.157298328305753188e+00,0.000000000000000000e+00,-2.426242366233471656e-02,-1.879912504136227680e+00,0.000000000000000000e+00,1.040706026721558208e+00,0.000000000000000000e+00
1.250000000000000000e-01,-4.920520782470703125e-01,-4.590211808681488037e-02,1.555020511150360107e-01,3.238343176853355043e+00,2.145528478611852918e+00,1.155994215564280125e+01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.219853051473674926e-02,-1.805548638780803516e+00,0.000000000000000000e+00,1.053774300092102933e+00,0.000000000000000000e+00,4.881483757943384100e-02,-2.430207673843360894e+00,0.000000000000000000e+00,1.169362423275248863e+00,0.000000000000000000e+00,1.751057328125722734e-02,-2.407071988841207766e+00,0.000000000000000000e+00,1.143237073970198914e+00,0.000000000000000000e+00,-2.436277363192440940e-02,-1.875517199198511342e+00,0.000000000000000000e+00,1.047609604573660702e+00,0.000000000000000000e+00
1.300000000000000044e-01,-4.950723648071289062e-01,-2.875017561018466949e-02,1.596699357032775879e-01,3.315879991103265922e+00,2.091678215002887864e+00,1.077014904511420035e+01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.336925720666674561e-02,-1.804432136095910355e+00,0.000000000000000000e+00,1.061634539358018658e+00,0.000000000000000000e+00,6.019674377119611786e-02,-2.425462963222503099e+00,0.000000000000000000e+00,1.147603507810099455e+00,0.000000000000000000e+00,2.200155220226760952e-02,-2.396218652018941242e+00,0.000000000000000000e+00,1.125400947500962756e+00,0.000000000000000000e+00,-2.453801482911162346e-02,-1.870346902245742404e+00,0.000000000000000000e+00,1.054151157339076939e+00,0.000000000000000000e+00
1.350000000000000089e-01,-4.871115684509277344e-01,-2.416008338332176208e-02,1.642290204763412476e-01,3.404791406868782122e+00,2.046657743027363807e+00,1.004563059607165343e+01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.472099820044872998e-02,-1.803097886321879839e+00,0.000000000000000000e+00,1.069555574596505965e+00,0.000000000000000000e+00,7.207272228868301378e-02,-2.416156011395599545e+00,0.000000000000000000e+00,1.123488172032494292e+00,0.000000000000000000e+00,2.656704016614854988e-02,-2.380681590469935660e+00,0.000000000000000000e+00,1.104919107171994819e+00,0.000000000000000000e+00,-2.486245904748742713e-02,-1.864620694682988189e+00,0.000000000000000000e+00,1.060530281242790140e+00,0.000000000000000000e+00
1.400000000000000133e-01,-4.733049571514129639e-01,-3.071917220950126648e-02,1.690058112144470215e-01,3.506307111901248330e+00,2.010053557085750064e+00,9.406665807869506679e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.630085480521940550e-02,-1.801567631498327327e+00,0.000000000000000000e+00,1.077620884403857282e+00,0.000000000000000000e+00,8.419333790902938652e-02,-2.403947021721505539e+00,0.000000000000000000e+00,1.098147287181330256e+00,0.000000000000000000e+00,3.138263785090142366e-02,-2.362105150210501048e+00,0.000000000000000000e+00,1.082830616983646577e+00,0.000000000000000000e+00,-2.538308477801472923e-02,-1.858531011348522721e+00,0.000000000000000000e+00,1.066928906065098825e+00,0.000000000000000000e+00
1.449999999999999900e-01,-4.577623903751373291e-01,-4.689295589923858643e-02,1.738340854644775391e-01,3.617871991112776797e+00,1.981179354306437324e+00,8.861947358964405552e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.813176096231736534e-02,-1.799863955710546026e+00,0.000000000000000000e+00,1.085909230673287595e+00,0.000000000000000000e+00,9.642762462574075433e-02,-2.390472834473571062e+00,0.000000000000000000e+00,1.072571129202189777e+00,0.000000000000000000e+00,3.659355006832860219e-02,-2.342097317131167422e+00,0.000000000000000000e+00,1.060066127604386566e+00,0.000000000000000000e+00,-2.612337146078675190e-02,-1.852239631803486386e+00,0.000000000000000000e+00,1.073507221771316411e+00,0.000000000000000000e+00
